source_row,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,old_domain,new_domain_offset,new_domain,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
7,41,51,53,52,42,52,54,54,0,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,1,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,2,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,3,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,4,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,5,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,6,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,7,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,8,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,9,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,10,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,11,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,12,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,13,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,14,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,15,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,16,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,17,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,18,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,19,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,20,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,21,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,22,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,23,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,24,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,25,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,26,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,27,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,28,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,29,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,30,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,31,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,32,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,33,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,34,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,35,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,36,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,37,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,38,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,39,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,40,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,41,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,42,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,43,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,44,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,45,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,46,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,47,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,48,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,49,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,50,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,51,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,52,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,53,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,54,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,55,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,56,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,57,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,58,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,59,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,60,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,61,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,62,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,63,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,64,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,65,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,66,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,67,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,68,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,69,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,70,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,71,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,72,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,73,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,74,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,75,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,76,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,77,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,78,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,79,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,80,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,81,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,82,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,83,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,84,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,85,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,86,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,87,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,88,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,89,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,90,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,91,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,92,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,93,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,94,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,95,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,96,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,97,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,98,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,99,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,100,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,101,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,102,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,103,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,104,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,105,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,106,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,107,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,108,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,109,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,110,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,111,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,112,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,113,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,114,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,115,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,116,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,117,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,118,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,119,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,120,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,121,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,122,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,123,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,124,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,125,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,126,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,127,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,128,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,129,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,130,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,131,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,132,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,133,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,134,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,135,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,136,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
